Apparent Polar Wander Paths (701) - source: Torsvik et al. (2012),,,
Age,A95,Plat,Plon
0,1.9,88.5,173.9
10,1.8,86.6,170
20,2.6,84.2,175.6
30,2.6,82.9,180.3
40,2.9,80.5,189
50,2.8,75.5,205.6
60,2.1,72.9,215.3
70,2.5,71.7,223.3
80,2.9,70.6,229.2
90,2.5,69.4,235.6
100,3.3,67,243.2
110,3.3,58.2,258.7
120,2.6,53.6,261.3
130,2.8,49.3,260.9
140,6,45.8,262.1
150,6.4,53.1,257.2
160,5.1,55.4,255.9
170,4.6,55.9,253.9
180,3.4,62.1,258.5
190,2.9,66.8,256.6
200,2.8,69,242.2
210,2.2,64.6,236.3
220,2.3,58.4,130.4
230,2.5,53.0,230.0
240,3.6,48.3,236.1
250,3.6,44.7,240.7
260,2.6,44.3,241.8
270,2.9,39.8,240.1
280,2.8,34.4,237.1
290,2.4,32.9,235.4
300,2.8,31.3,233.5
310,3.9,28.0,228.5
320,4.9,25.1,221.8
330,0,23.0,220.3
340,0,21.7,216.3
350,0,19.4,211.4
360,0,15.2,204.4
370,0,7.8,196.6
380,0,4.3,193.2
390,0,9.1,193.3
400,0,19.8,193.4
410,0,31.0,189.8
420,0,28.9,182.7
430,0,14.7,175.3
440,0,-3.1,170.4
450,0,-20.5,167.8
460,0,-30.5,169.5
470,0,-33.2,178.6
480,0,-31.1,186.8
490,0,-34.3,192.9
500,0,-30.7,190.7
510,0,-19.9,184.0
520,0,-9.3,171.0
530,0,-4.2,158.9
540,0,1.3,148.6
550,0,7.5,133.4
