Apparent Polar Wander Paths (701) - source: Besse & Courtillot (2002),,,,
Plate ID,Age,A95,Plat,Plon
701,0,2.6,86.2,176.9
701,10,2,85.3,173.5
701,20,2.7,83.9,175.9
701,30,3.8,81.8,190.7
701,40,3.3,79,201.1
701,50,3.4,76.9,210.3
701,60,2.8,74.3,225.7
701,70,3.2,71.9,233.7
701,80,6,70.3,241.6
701,90,5.3,66.7,248.7
701,100,6.8,65.4,248
701,110,4.1,57.9,259
701,120,2.3,54,261.1
701,130,3.2,50,262.1
701,140,6.5,45.7,264.5
701,150,6.8,52.9,260.6
701,160,5,55.1,259.9
701,170,6,60.8,260.9
701,180,5.4,66,260.1
701,190,4.2,64.7,259
701,200,4.3,62.2,252.4
