Apparent Polar Wander Paths (701) - source: Kent & Irving (2010),,,,
Plate ID,Age,A95,Plat,Plon
701,50,5.4,78.495,207.3
701,60,5.5,76.063,219.68
701,70,4.6,73.551,235.02
701,80,4.5,70.759,232.95
701,90,3.4,66.751,240.57
701,100,4.4,59.904,255.4
701,110,4.5,57.067,260.32
701,120,2.7,47.014,265.03
701,130,2.4,43.433,266.67
701,140,6.8,35.478,267.73
701,150,9,30.757,270.65
701,160,7.5,59.211,264.92
701,170,6.5,59.271,264.7
701,180,5.5,57.952,273.23
701,190,6.7,59.498,273.75
701,200,3.8,65.547,250.6
