Plate ID;Plate name
101;North America
102;Greenland
103;North Alaska
104;Mexican blocks (north Mexico)
105;Baja California
113;Northwind Ridge
119;Amerasia Basin
199;Alleghanian North America
201;South America
202;Parana Basin
205;Yucatan
276;Sandwich Plate
277;North Scotia Plate
291;Colorado-San Jorge subplate
301;Baltica
304;Iberia
315;Eurasia
317;Porcupine Plate
387;Riveria Plate
401;Siberia
409;Northeast Siberia
430;Tarim
453;Greater Amuria
501;India
503;Arabia
508;Sinai, Africa
511;Capricorn Plate
514;Elan Bank Plate
601;North China
602;South China
608;South Philippine Sea Plate
610;East Parece Vela Plate
611;West Parece Vela Plate
653;North Caroline Sea Plate
688;South Caroline Plate
699;Marianas forearc
701;South Africa
702;Madagascar
704;Seychelles
709;Somalia plate
709;Somalia plate
710;Danakil plate
712;North Mozambique, Africa
714;NW Africa
715;Africa
801;Australia
802;East Antarctica
804;West Antarctica
820;South Scotia Plate
833;Lord Howe Rise
901;Pacific Plate
903;Juan de Fuca Plate
904;Phoenix Plate
907;Jan Mayen
909;Cocos Plate
911;Nazca Plate
927;North Philippine Sea Plate
1001;mobile belt (unconstrained)
2007;Caribbean plate
2022;Cuba segment
2030;Maracaibo Block
2031;Greater Panama
2035;Chortis Block
2039;Siuna terrane
2047;North Nicaraguan rise
3089;Adria
3546;Eastern Meseta south of Tell Belt
3547;Western Meseta
